Pattern,Problem,Source,Path,Last Reviewed (YYYY-MM-DD),Confidence (1-5),Notes
Arrays,reverse String,CrackingCoding,src/main/java/CrackingCoding/Array/Jan_2018/reverseString.java,,,
Arrays,Reverse String,Array,src/main/java/Array/ReverseString.java,,,
Arrays,Rotate  Array,Leetcode,src/main/java/Leetcode/MustDoEasyQuestions/P11_Rotate_Array.java,,,
Arrays,Rotate  Image,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P11_Rotate_Image.java,,,
Arrays,Rotate Array By One,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Easy/P5_RotateArrayByOne.java,,,
Arrays,rotated Array Class,Array,src/main/java/Array/rotatedArrayClass.java,,,
Arrays,rotation,CrackingCoding,src/main/java/CrackingCoding/Array/rotation.java,,,
Arrays,rotation,Array,src/main/java/Array/rotation.java,,,
Arrays,Search  Sorted  Array,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P8_Search_Sorted_Array.java,,,
Arrays,Second Largest Element,Session,src/main/java/Session/StriverA2Z/Arrays_1/P2_SecondLargestElement.java,,,
Arrays,Second Largest Smallest,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P2_SecondLargestSmallest.java,,,
Arrays,Second Smallest Largest Element In Array,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Easy/P2_SecondSmallestLargestElementInArray.java,,,
Arrays,Sherlock Squares,Array,src/main/java/Array/SherlockSquares.java,,,
Arrays,Sort 0 1 2,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P2_Sort_0_1_2.java,,,
Arrays,Sort An Array,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part1/P5_SortAnArray.java,,,
Arrays,sort Elements By Frequency,Array,src/main/java/Array/sortElementsByFrequency.java,,,
Arrays,Sort Problem,Session,src/main/java/Session/May2024/TechBoost/Arrays/SortProblem.java,,,
Arrays,Sort0s1s2s,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Medium/P2_Sort0s1s2s.java,,,
Arrays,Sorted Integer Array,Array,src/main/java/Array/SortedIntegerArray.java,,,
Arrays,Sub Array Sum EqualsK,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P12_SubArraySumEqualsK.java,,,
Arrays,swapping Two Numbers,Array,src/main/java/Array/swappingTwoNumbers.java,,,
Arrays,test,Array,src/main/java/Array/test.java,,,
Arrays,Test1,Array,src/main/java/Array/Test1.java,,,
Arrays,Three  Sum,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_3_Hard/P3_Three_Sum.java,,,
Arrays,Tower Of Hanoi,Array,src/main/java/Array/Practice_2022/OnlineTest/TowerOfHanoi.java,,,
Arrays,Two  Sum,Blind75,src/main/java/Blind75/S1_Array/P1_Two_Sum.java,,,
Arrays,Two  Sum,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P1_Two_Sum.java,,,
Arrays,Two Sum,Practice75Problems,src/main/java/Practice75Problems/Array/P1_TwoSum.java,,,
Arrays,Two Sum,Practice2025,src/main/java/Practice2025/Grind75/Array/P1_TwoSum.java,,,
Arrays,Two Sum,Session,src/main/java/Session/Jan2025/Blind75/Day1_Array/P1_TwoSum.java,,,
Arrays,Two Sum,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Medium/P1_TwoSum.java,,,
Arrays,Union Of Arrays,Leetcode,src/main/java/Leetcode/Array/UnionOfArrays.java,,,
Arrays,Union Of Arrays,Session,src/main/java/Session/May2024/TechBoost/Arrays/UnionOfArrays.java,,,
Arrays,Union Of Two Sorted Arrays,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P9_UnionOfTwoSortedArrays.java,,,
Arrays,Unique Char,CrackingCoding,src/main/java/CrackingCoding/Array/UniqueChar.java,,,
Arrays,Unique Char,Array,src/main/java/Array/UniqueChar.java,,,
Arrays,unique Character  Prob,CrackingCoding,src/main/java/CrackingCoding/Array/Jan_2018/uniqueCharacter_Prob.java,,,
Arrays,What Fix,Array,src/main/java/Array/WhatFix.java,,,
Arrays & Hashing,3 Sum  Problem,Striver,src/main/java/Striver/Strivers_79_Sheet/ArraysAndHashing/P2_3Sum_Problem.java,,,
Arrays & Hashing,Anagram,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P2_Anagram.java,,,
Arrays & Hashing,Concatenation Of Array,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P0_ConcatenationOfArray.java,,,
Arrays & Hashing,Contains Duplicate,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P1_ContainsDuplicate.java,,,
Arrays & Hashing,Counting Frequencies,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S1_LearnBasics/S1_5_BasicHashing/P1_CountingFrequencies.java,,,
Arrays & Hashing,Encode Decode Strings,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P6_EncodeDecodeStrings.java,,,
Arrays & Hashing,Encode Decode Strings,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/EncodeDecodeStrings.java,,,
Arrays & Hashing,Encode Decode Strings,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P6_EncodeDecodeStrings.java,,,
Arrays & Hashing,Group Anagram,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P4_GroupAnagram.java,,,
Arrays & Hashing,Group Anagrams,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P4_GroupAnagrams.java,,,
Arrays & Hashing,Has Duplicates,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P1_HasDuplicates.java,,,
Arrays & Hashing,Hash Prob1,TakeUForward,src/main/java/TakeUForward/A2Z/Practice/HashProb1.java,,,
Arrays & Hashing,Hashing,CrackingCoding,src/main/java/CrackingCoding/Array/Hashing.java,,,
Arrays & Hashing,Hashing,Javatpoint,src/main/java/Javatpoint/Hashing.java,,,
Arrays & Hashing,Hashing,Array,src/main/java/Array/Hashing.java,,,
Arrays & Hashing,Linked Hash Map Example,JavaCollection,src/main/java/JavaCollection/LinkedHashMapExample.java,,,
Arrays & Hashing,Longest Common Prefix,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P11_LongestCommonPrefix.java,,,
Arrays & Hashing,Longest Consecutive Sequence,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P9_LongestConsecutiveSequence.java,,,
Arrays & Hashing,Most Frequent Elements,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P5_MostFrequentElements.java,,,
Arrays & Hashing,Next Permutation,Striver,src/main/java/Striver/Strivers_79_Sheet/ArraysAndHashing/P1_NextPermutation.java,,,
Arrays & Hashing,Product Array Excluding Self,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/ProductArrayExcludingSelf.java,,,
Arrays & Hashing,Product Of Array Except Self,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P7_ProductOfArrayExceptSelf.java,,,
Arrays & Hashing,TopK Frequent Elements,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P5_TopKFrequentElements.java,,,
Arrays & Hashing,Two Sum,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P3_TwoSum.java,,,
Arrays & Hashing,Two Sum,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P3_TwoSum.java,,,
Arrays & Hashing,Valid Anagram,Neetcode150,src/main/java/Neetcode150/ArraysNHashing/P2_ValidAnagram.java,,,
Arrays & Hashing,Valid Sudoku,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/P8_ValidSudoku.java,,,
Arrays & Hashing,Valid Sudoku,Practice2025,src/main/java/Practice2025/Neetcode/ArraysHashing/ValidSudoku.java,,,
Binary Search,Binary Search,Array,src/main/java/Array/BinarySearch.java,,,
Binary Search,Binary Search,Array,src/main/java/Array/Prelim/BinarySearch.java,,,
Binary Search,Binary Search,Array,src/main/java/Array/BinarySearchQuestions/BinarySearch.java,,,
Binary Search,Binary Search,Leetcode,src/main/java/Leetcode/Array/BinarySearch.java,,,
Binary Search,Binary Search,SearchAlgo,src/main/java/SearchAlgo/BinarySearch.java,,,
Binary Search,Binary Search,BinarySearch,src/main/java/BinarySearch/P1_BinarySearch.java,,,
Binary Search,Binary Search,NPTEL,src/main/java/NPTEL/BinarySearch.java,,,
Binary Search,Binary Search  Prob,TechBoost_Old,src/main/java/TechBoost_Old/BinarySearch_Prob.java,,,
Binary Search,Binary Search Tree  Prob,TechBoost_Old,src/main/java/TechBoost_Old/BinarySearchTree_Prob.java,,,
Binary Search,Binary Search Tree Node,BinaryTree,src/main/java/BinaryTree/BinarySearchTreeNode.java,,,
Binary Search,Binary Search Tree Traversal,TechboostJune2020,src/main/java/TechboostJune2020/BST/BinarySearchTreeTraversal.java,,,
Binary Search,BS,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step4_BinarySearch/Easy/P1_BS.java,,,
Binary Search,Ceil,Array,src/main/java/Array/BinarySearchQuestions/Ceil.java,,,
Binary Search,Floor,Array,src/main/java/Array/BinarySearchQuestions/Floor.java,,,
Binary Search,Floor Ceil,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step4_BinarySearch/Easy/P2_FloorCeil.java,,,
Binary Search,Interpolation Search,Array,src/main/java/Array/BinarySearchQuestions/InterpolationSearch.java,,,
Binary Search,Min Number Of Days Bouquets,BinarySearch,src/main/java/BinarySearch/P5_MinNumberOfDaysBouquets.java,,,
Binary Search,Number Of Negative Elements,BinarySearch,src/main/java/BinarySearch/P4_NumberOfNegativeElements.java,,,
Binary Search,Occurences,Array,src/main/java/Array/BinarySearchQuestions/Occurences.java,,,
Binary Search,peak Element,Array,src/main/java/Array/BinarySearchQuestions/peakElement.java,,,
Binary Search,Rotated Array,Array,src/main/java/Array/BinarySearchQuestions/RotatedArray.java,,,
Binary Search,Square Root,BinarySearch,src/main/java/BinarySearch/P2_SquareRoot.java,,,
Binary Search,Three Sorted Arrays,Array,src/main/java/Array/Practice_2022/BinarySearch/ThreeSortedArrays.java,,,
Binary Tree / BST,Ancestors,BinaryTree,src/main/java/BinaryTree/Practice_2022/Ancestors.java,,,
Binary Tree / BST,B Tree Intro,BinaryTree,src/main/java/BinaryTree/BTreeIntro.java,,,
Binary Tree / BST,B Tree Mock,TechBoost_Old,src/main/java/TechBoost_Old/BTreeMock.java,,,
Binary Tree / BST,B Tree Questions,Leetcode,src/main/java/Leetcode/BinaryTree/Easy/BTreeQuestions.java,,,
Binary Tree / BST,Balanced Tree,Leetcode,src/main/java/Leetcode/BinaryTree/Easy/BalancedTree.java,,,
